block_csv,User_Id,Test_Type,Test_Name,Flanker_Direction,Flanker_Congruency,Stroop_Text,Stroop_Color,Correct,Response,Is_Correct?,Time
st_b1.csv,1,main,StroopTrial,-,-,yellow,red,yellow,yellow,True,0.8873905028001376
st_b1.csv,1,main,StroopTrial,-,-,yellow,blue,yellow,yellow,True,0.832263305950133
st_b1.csv,1,main,StroopTrial,-,-,yellow,yellow,yellow,yellow,True,1.2090270130954082
st_b1.csv,1,main,StroopTrial,-,-,green,yellow,green,green,True,0.9905107494352232
st_b1.csv,1,main,StroopTrial,-,-,red,yellow,red,red,True,1.3742181747447435
st_b1.csv,1,main,StroopTrial,-,-,yellow,green,yellow,yellow,True,1.4947063814349442
st_b1.csv,1,main,StroopTrial,-,-,green,red,green,green,True,1.1878694395844238
st_b1.csv,1,main,StroopTrial,-,-,red,green,red,red,True,1.5825245463734454
st_b1.csv,1,main,StroopTrial,-,-,green,yellow,green,green,True,0.396802706972447
st_b1.csv,1,main,StroopTrial,-,-,blue,green,blue,blue,True,1.3450332446256068
st_b1.csv,1,main,StroopTrial,-,-,green,blue,green,green,True,0.27405159386987554
st_b1.csv,1,main,StroopTrial,-,-,red,red,red,red,True,1.259178523208619
st_b1.csv,1,main,StroopTrial,-,-,yellow,red,yellow,yellow,True,0.23942604473100232
st_b1.csv,1,main,StroopTrial,-,-,red,green,red,red,True,0.8671068346317297
st_b1.csv,1,main,StroopTrial,-,-,yellow,yellow,yellow,yellow,True,0.6011410526388867
st_b1.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.746129878621558
st_b1.csv,1,main,StroopTrial,-,-,green,blue,green,green,True,0.03198417366479678
st_b1.csv,1,main,StroopTrial,-,-,yellow,red,yellow,yellow,True,1.357756094588594
st_b1.csv,1,main,StroopTrial,-,-,green,red,green,green,True,0.06722688420863254
st_b1.csv,1,main,StroopTrial,-,-,red,red,red,red,True,0.9645653838345074
st_b1.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.023155367936074867
st_b1.csv,1,main,StroopTrial,-,-,green,green,green,green,True,0.15884867604398267
st_b1.csv,1,main,StroopTrial,-,-,blue,green,blue,blue,True,0.21855194871510975
st_b1.csv,1,main,StroopTrial,-,-,green,green,green,green,True,0.8585895412646896
st_b1.csv,1,main,StroopTrial,-,-,yellow,blue,yellow,yellow,True,1.2408278061597975
st_b1.csv,1,main,StroopTrial,-,-,blue,green,blue,blue,True,0.6601336466595623
st_b1.csv,1,main,StroopTrial,-,-,red,red,red,red,True,0.9959536771060108
st_b1.csv,1,main,StroopTrial,-,-,yellow,yellow,yellow,yellow,True,0.2708453985810316
st_b1.csv,1,main,StroopTrial,-,-,red,green,red,red,True,1.321506862535613
st_b1.csv,1,main,StroopTrial,-,-,blue,red,blue,blue,True,1.8343934376272006
st_b1.csv,1,main,StroopTrial,-,-,yellow,green,yellow,yellow,True,1.3960443355991603
st_b1.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,1.449890114819898
st_b1.csv,1,main,StroopTrial,-,-,red,blue,red,red,True,0.3638497615159014
st_b1.csv,1,main,StroopTrial,-,-,green,green,green,green,True,1.2589082753118053
st_b1.csv,1,main,StroopTrial,-,-,blue,yellow,blue,blue,True,0.4988805428976759
st_b1.csv,1,main,StroopTrial,-,-,green,green,green,green,True,0.7779527987447993
st_b1.csv,1,main,StroopTrial,-,-,yellow,yellow,yellow,yellow,True,0.29109474664533186
st_b1.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.7360496442980466
st_b1.csv,1,main,StroopTrial,-,-,blue,red,blue,blue,True,1.4072617012598938
st_b1.csv,1,main,StroopTrial,-,-,green,blue,green,green,True,0.8982130292763432
st_b1.csv,1,main,StroopTrial,-,-,red,yellow,red,red,True,1.5186380733302745
st_b1.csv,1,main,StroopTrial,-,-,green,yellow,green,green,True,0.37239706301139563
st_b1.csv,1,main,StroopTrial,-,-,blue,red,blue,blue,True,1.1299545849752368
st_b1.csv,1,main,StroopTrial,-,-,red,red,red,red,True,0.8031249273558139
st_b1.csv,1,main,StroopTrial,-,-,red,yellow,red,red,True,1.1971085783088486
st_b1.csv,1,main,StroopTrial,-,-,red,blue,red,red,True,0.3196980784266804
st_b1.csv,1,main,StroopTrial,-,-,yellow,blue,yellow,yellow,True,0.05247561006779966
st_b1.csv,1,main,StroopTrial,-,-,blue,yellow,blue,blue,True,0.5304725464555934
st_b2.csv,1,main,StroopTrial,-,-,green,blue,green,green,True,0.14406297221412112
st_b2.csv,1,main,StroopTrial,-,-,blue,yellow,blue,blue,True,0.8395103864046088
st_b2.csv,1,main,StroopTrial,-,-,yellow,yellow,yellow,yellow,True,0.6480825144681474
st_b2.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.047183790167578676
st_b2.csv,1,main,StroopTrial,-,-,green,red,green,green,True,0.1303818888965254
st_b2.csv,1,main,StroopTrial,-,-,red,red,red,red,True,0.30259255180272465
st_b2.csv,1,main,StroopTrial,-,-,yellow,yellow,yellow,yellow,True,1.0403465181867753
st_b2.csv,1,main,StroopTrial,-,-,green,green,green,green,True,0.12966821650938948
st_b2.csv,1,main,StroopTrial,-,-,yellow,red,yellow,yellow,True,0.27378019432937517
st_b2.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,1.0047739119699104
st_b2.csv,1,main,StroopTrial,-,-,green,green,green,green,True,0.06643426043037465
st_b2.csv,1,main,StroopTrial,-,-,yellow,green,yellow,yellow,True,0.4518539541265249
st_b2.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,1.167658158509027
st_b2.csv,1,main,StroopTrial,-,-,red,red,red,red,True,0.364337961364721
st_b2.csv,1,main,StroopTrial,-,-,red,blue,red,red,True,0.5731062594933813
st_b2.csv,1,main,StroopTrial,-,-,green,green,green,green,True,0.9078711764332149
st_b2.csv,1,main,StroopTrial,-,-,red,yellow,red,red,True,0.5820549751264582
st_b2.csv,1,main,StroopTrial,-,-,green,green,green,green,True,1.1090775246125912
st_b2.csv,1,main,StroopTrial,-,-,red,red,red,red,True,0.6614085084259054
st_b2.csv,1,main,StroopTrial,-,-,yellow,yellow,yellow,yellow,True,0.9169359170271414
st_b2.csv,1,main,StroopTrial,-,-,yellow,green,yellow,yellow,True,0.843494590623074
st_b2.csv,1,main,StroopTrial,-,-,blue,yellow,blue,blue,True,1.2472045306039663
st_b2.csv,1,main,StroopTrial,-,-,red,blue,red,red,True,0.21227774355888807
st_b2.csv,1,main,StroopTrial,-,-,green,yellow,green,green,True,0.6584438630807887
st_b2.csv,1,main,StroopTrial,-,-,yellow,blue,yellow,yellow,True,0.5716104304635372
st_b2.csv,1,main,StroopTrial,-,-,yellow,yellow,yellow,yellow,True,0.4596019446194413
st_b2.csv,1,main,StroopTrial,-,-,yellow,yellow,yellow,yellow,True,0.588919754447277
st_b2.csv,1,main,StroopTrial,-,-,green,blue,green,green,True,0.3425128726278597
st_b2.csv,1,main,StroopTrial,-,-,yellow,red,yellow,yellow,True,0.3690893539716801
st_b2.csv,1,main,StroopTrial,-,-,yellow,blue,yellow,yellow,True,0.4465794739090496
st_b2.csv,1,main,StroopTrial,-,-,blue,green,blue,blue,True,0.659948624687525
st_b2.csv,1,main,StroopTrial,-,-,red,red,red,red,True,0.024946013893493935
st_b2.csv,1,main,StroopTrial,-,-,green,green,green,green,True,0.2176879999019431
st_b2.csv,1,main,StroopTrial,-,-,green,yellow,green,green,True,0.5700140872699532
st_b2.csv,1,main,StroopTrial,-,-,red,green,red,red,True,0.2539469833773166
st_b2.csv,1,main,StroopTrial,-,-,red,red,red,red,True,0.7398822939971315
st_b2.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.5677303826173435
st_b2.csv,1,main,StroopTrial,-,-,red,red,red,red,True,1.178351286425074
st_b2.csv,1,main,StroopTrial,-,-,green,red,green,green,True,1.1502806061352642
st_b2.csv,1,main,StroopTrial,-,-,red,green,red,red,True,0.22599134501014756
st_b2.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.5443598944126323
st_b2.csv,1,main,StroopTrial,-,-,green,green,green,green,True,1.0910654688417694
st_b2.csv,1,main,StroopTrial,-,-,blue,red,blue,blue,True,0.5498747772169854
st_b2.csv,1,main,StroopTrial,-,-,blue,red,blue,blue,True,0.4026176338802384
st_b2.csv,1,main,StroopTrial,-,-,blue,green,blue,blue,True,0.2045842013684055
st_b2.csv,1,main,StroopTrial,-,-,yellow,yellow,yellow,yellow,True,0.5505913631004349
st_b2.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.12813531372334197
st_b2.csv,1,main,StroopTrial,-,-,red,yellow,red,red,True,0.735772128523895
st_b3.csv,1,main,StroopTrial,-,-,red,green,red,red,True,0.9150665616643097
st_b3.csv,1,main,StroopTrial,-,-,red,green,red,red,True,0.23981388910730891
st_b3.csv,1,main,StroopTrial,-,-,yellow,red,yellow,yellow,True,0.5215929788771203
st_b3.csv,1,main,StroopTrial,-,-,red,yellow,red,red,True,0.4777750898308158
st_b3.csv,1,main,StroopTrial,-,-,red,yellow,red,red,True,0.4065147687619376
st_b3.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.1299037379344707
st_b3.csv,1,main,StroopTrial,-,-,red,blue,red,red,True,0.26678667952358337
st_b3.csv,1,main,StroopTrial,-,-,red,red,red,red,True,0.9493709022748367
st_b3.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.11576434532086727
st_b3.csv,1,main,StroopTrial,-,-,green,green,green,green,True,0.40492215467921755
st_b3.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.2527592155610957
st_b3.csv,1,main,StroopTrial,-,-,green,green,green,green,True,0.06172933355391608
st_b3.csv,1,main,StroopTrial,-,-,green,yellow,green,green,True,0.3642626623350126
st_b3.csv,1,main,StroopTrial,-,-,blue,blue,blue,blue,True,0.1834442165444703
